Estimulo;C2;C4
2;1680309.923927,37799850.396763,28.033939,41.235497,1680310.460944,37799940.516698,28.03399,41.23558;1095325.705662,34525888.223459,29.606922,40.522036,1095325.754746,34525909.754745,29.606934,40.522057
0;1680310.996473,37799976.905243,28.034006,41.235611,1680310.996473,37799976.905243,28.034006,41.235611;1095325.931599,34525923.308665,29.606938,40.522067,1095325.931599,34525923.308665,29.606938,40.522067
1;1680311.641037,37800005.858704,28.034029,41.235647,1680328.934219,37800377.908662,28.034146,41.235964;1095326.39685,34525932.692751,29.606943,40.522078,1095329.946116,34526009.643056,29.606974,40.522153
2;1680329.010421,37800411.179948,28.034158,41.235991,1680331.398288,37800476.431543,28.034187,41.23605;1095329.988884,34526021.200144,29.606976,40.522161,1095331.460585,34526036.320582,29.606983,40.522177
1;1680333.549152,37800499.18545,28.034187,41.236064,1680362.741691,37801259.388705,28.034512,41.236777;1095332.317815,34526045.51289,29.606983,40.522183,1095337.449775,34526197.819968,29.607063,40.522347
1;1680362.76876,37801294.096024,28.034528,41.236809,1680364.497721,37801412.312477,28.03458,41.236911;1095337.499209,34526209.968833,29.607067,40.522356,1095337.839789,34526237.911012,29.607079,40.522382
0;1680366.282086,37801458.443003,28.034591,41.236944,1680366.282086,37801458.443003,28.034591,41.236944;1095338.326019,34526248.042862,29.607082,40.522391,1095338.326019,34526248.042862,29.607082,40.522391
2;1680366.537437,37801465.282462,28.034594,41.236951,1680366.802221,37801494.980788,28.034607,41.236978;1095338.468583,34526252.35105,29.607083,40.522394,1095338.951585,34526265.087825,29.607086,40.522403
1;1680368.028251,37801535.609474,28.034615,41.237006,1680398.284974,37802142.762049,28.034813,41.237503;1095339.568313,34526274.869585,29.607088,40.522411,1095344.338497,34526407.322131,29.607135,40.522528
2;1680398.640927,37802151.903486,28.034828,41.237519,1680398.949044,37802235.905517,28.034868,41.237598;1095344.450999,34526410.622717,29.60714,40.522534,1095344.670272,34526431.91862,29.607149,40.522554
0;1680398.972702,37802275.917882,28.03488,41.237627,1680398.972702,37802275.917882,28.03488,41.237627;1095344.687567,34526440.558875,29.607153,40.522562,1095344.687567,34526440.558875,29.607153,40.522562
1;1680399.768709,37802308.931654,28.034906,41.237667,1680435.438925,37802785.944795,28.034996,41.237998;1095344.865739,34526448.784618,29.607159,40.522573,1095350.660518,34526548.757096,29.607182,40.522647
2;1680437.379623,37802820.491701,28.03501,41.238032,1680438.162776,37802848.150845,28.035022,41.238056;1095351.295226,34526556.846801,29.607186,40.522656,1095351.754126,34526567.777087,29.607188,40.522664
2;1680438.243772,37802889.048165,28.035034,41.238086,1680438.930093,37802914.791134,28.03505,41.238113;1095351.794441,34526583.847352,29.607191,40.522675,1095351.982631,34526594.257837,29.607195,40.522684
1;1680439.421123,37802931.776468,28.035052,41.238123,1680440.863152,37802991.232133,28.035071,41.23817;1095352.334834,34526603.01796,29.607194,40.522689,1095353.483949,34526623.176546,29.607198,40.522704
0;1680441.329868,37803044.478062,28.035079,41.238203,1680441.329868,37803044.478062,28.035079,41.238203;1095353.770685,34526638.43073,29.6072,40.522714,1095353.770685,34526638.43073,29.6072,40.522714
2;1680441.480568,37803069.860077,28.035085,41.23822,1680442.516629,37803081.396627,28.035088,41.23823;1095353.868385,34526648.8359,29.607201,40.52272,1095354.782228,34526658.550733,29.6072,40.522726
1;1680442.653883,37803103.592673,28.035095,41.238248,1680471.289222,37803415.221454,28.035211,41.238528;1095354.824363,34526663.527937,29.607202,40.52273,1095361.57674,34526736.391857,29.607229,40.5228
1;1680471.44196,37803427.163711,28.035213,41.238536,1680472.200027,37803493.735077,28.035235,41.238587;1095361.928448,34526741.854208,29.607228,40.522803,1095362.35317,34526759.559549,29.607234,40.522818
1;1680473.371715,37803500.959455,28.035239,41.238595,1680579.187562,37804403.993547,28.035621,41.239453;1095362.823244,34526763.809546,29.607236,40.522822,1095386.027318,34526939.313319,29.607327,40.523016
0;1680598.206677,37804531.481911,28.035629,41.239542,1680598.206677,37804531.481911,28.035629,41.239542;1095389.884371,34526976.209704,29.607329,40.523042,1095389.884371,34526976.209704,29.607329,40.523042
1;1680598.564691,37804554.507609,28.035642,41.239566,1680599.948348,37804655.399777,28.035698,41.239664;1095389.973423,34526982.591623,29.607332,40.523048,1095390.311058,34527009.148811,29.607346,40.523075
1;1680600.393396,37804670.602109,28.035712,41.239688,1680602.379138,37804720.316528,28.035722,41.239726;1095390.494516,34527016.200773,29.607349,40.523082,1095391.765433,34527038.493473,29.60735,40.523097
2;1680602.861507,37804776.20083,28.035741,41.23977,1680750.54665,37807839.085019,28.037047,41.242504;1095391.82728,34527052.273716,29.607354,40.523108,1095422.968668,34527664.509486,29.607666,40.523731
2;1680763.335033,37807915.081305,28.037043,41.242549,1680763.641986,37807945.219077,28.037082,41.242591;1095426.401238,34527684.383736,29.607666,40.523744,1095426.548324,34527696.995279,29.607676,40.523758
0;1680764.968153,37808394.500808,28.037371,41.243025,1680764.968153,37808394.500808,28.037371,41.243025;1095426.869612,34527799.013483,29.607744,40.52386,1095426.869612,34527799.013483,29.607744,40.52386
1;1680765.407925,37808455.239439,28.037391,41.243072,1680787.142656,37809008.384547,28.037525,41.243472;1095427.05766,34527812.154746,29.607749,40.523872,1095431.483845,34527933.678961,29.607781,40.523967
1;1680787.313425,37809021.206305,28.037526,41.243479,1680788.16712,37809095.138872,28.037575,41.243556;1095431.545734,34527939.51499,29.607781,40.52397,1095432.477521,34527965.857303,29.607793,40.523995
2;1680788.593866,37809129.489602,28.037584,41.243582,1680867.086107,37813021.047257,28.039278,41.247069;1095432.671852,34527976.369423,29.607795,40.524002,1095450.754062,34528736.406904,29.60821,40.524792
