Start_time;End_time;C1;C2;C3;C4;C5
2025-05-15 15:45:18.425144;2025-05-15 15:45:19.472316;340846.979862,24463915.986753,32.55627,36.060288;831493.455296,35208919.852902,29.799911,40.872337;412432.375157,24524994.845298,33.011389,36.532424;935521.100476,33620189.179713,30.69346,40.88725;842520.063908,38119022.601523,29.879197,42.670233
2025-05-15 15:45:19.473311;2025-05-15 15:45:20.554926;340847.509759,24463939.349868,32.556275,36.060311;831494.594451,35209034.895126,29.799949,40.87244;412433.926459,24525137.919561,33.01142,36.532565;935523.395164,33620428.235377,30.693528,40.887463;842520.54591,38119062.228402,29.879208,42.670267
2025-05-15 15:45:20.555923;2025-05-15 15:45:21.610244;340848.482818,24463984.698004,32.556275,36.060345;831498.196194,35209241.091617,29.799978,40.872583;412438.519619,24525408.786469,33.011422,36.532764;935530.304784,33620863.311987,30.693574,40.887759;842523.904288,38119148.129965,29.879213,42.670319
2025-05-15 15:45:21.611241;2025-05-15 15:45:22.664273;340848.786468,24464014.874059,32.556278,36.060367;831499.728039,35209375.719891,29.799999,40.872668;412440.813766,24525574.79999,33.011432,36.532883;935534.248524,33621131.709065,30.693608,40.88793;842524.857834,38119189.083336,29.879218,42.670344
2025-05-15 15:45:22.665270;2025-05-15 15:45:23.715110;340849.37176,24464047.121579,32.556275,36.060387;831501.326465,35209494.267079,29.800004,40.872742;412442.898799,24525735.53905,33.011416,36.532991;935539.261058,33621378.232232,30.693611,40.888087;842528.939213,38119234.215803,29.879227,42.670384
2025-05-15 15:45:23.716109;2025-05-15 15:45:24.759602;340849.522071,24464066.125851,32.556282,36.060407;831501.598973,35209598.7356,29.800041,40.872835;412443.268022,24525873.356692,33.011443,36.533121;935541.137044,33621604.621668,30.693672,40.888284;842533.979857,38119281.199369,29.879234,42.670424
2025-05-15 15:45:24.760600;2025-05-15 15:45:25.843889;340850.252011,24464106.823075,32.556285,36.060438;831502.422184,35209775.67452,29.800078,40.872962;412444.010341,24526096.884978,33.011464,36.533294;935542.457712,33621962.491197,30.693734,40.888537;842534.134763,38119345.317255,29.879243,42.670465
2025-05-15 15:45:25.844886;2025-05-15 15:45:26.907044;340850.922344,24464124.729878,32.556291,36.060457;831503.943786,35209851.599398,29.800113,40.873035;412445.505465,24526200.120428,33.011495,36.533398;935546.643876,33622118.215481,30.693796,40.888687;842537.119553,38119404.468775,29.879249,42.670504
2025-05-15 15:45:26.908041;2025-05-15 15:45:27.962738;340851.078212,24464145.348701,32.556293,36.060473;831504.799083,35209945.713957,29.800127,40.873105;412446.620893,24526318.965607,33.011496,36.533495;935548.875135,33622305.011837,30.693817,40.88883;842537.615054,38119436.241099,29.879253,42.670527
2025-05-15 15:45:27.962738;2025-05-15 15:45:29.029582;340852.364724,24464171.521436,32.556294,36.060497;831506.932064,35210014.130159,29.800152,40.873179;412448.861216,24526400.325237,33.011513,36.533592;935552.714265,33622426.1373,30.693861,40.88897;842538.292081,38119459.68611,29.879261,42.670551
2025-05-15 15:45:29.030580;2025-05-15 15:45:30.093872;340852.640251,24464203.252652,32.556297,36.060522;831507.079976,35210123.7072,29.800176,40.873259;412448.989554,24526548.991894,33.011524,36.533705;935552.885994,33622660.442452,30.693898,40.889134;842538.301455,38119503.441434,29.879267,42.670579
2025-05-15 15:45:30.093872;2025-05-15 15:45:31.141239;340852.78306,24464231.360967,32.556304,36.060548;831507.753665,35210253.563322,29.80022,40.873369;412449.86785,24526718.175385,33.01156,36.533861;935554.611753,33622933.334951,30.693973,40.88936;842538.64196,38119549.139898,29.879281,42.670616
2025-05-15 15:45:31.141239;2025-05-15 15:45:32.206192;340852.936901,24464254.548764,32.556303,36.060565;831507.904887,35210342.916629,29.800233,40.873431;412450.060234,24526838.540662,33.011562,36.533949;935555.128824,33623122.395561,30.693993,40.889487;842538.752072,38119584.928988,29.879285,42.670638
2025-05-15 15:45:32.207188;2025-05-15 15:45:33.268580;340853.050066,24464267.185306,32.556305,36.060577;831507.994663,35210411.737733,29.800248,40.873485;412450.203045,24526931.712764,33.01157,36.534026;935555.251443,33623281.938054,30.694015,40.889602;842538.792237,38119609.354798,29.879289,42.670656
2025-05-15 15:45:33.269577;2025-05-15 15:45:34.330693;340853.16902,24464284.137567,32.556309,36.060594;831508.105077,35210495.576565,29.800278,40.873559;412450.283998,24527039.72112,33.011594,36.53413;935555.374015,33623459.017158,30.694065,40.889755;842538.822595,38119636.627569,29.879299,42.670681
2025-05-15 15:45:34.331690;2025-05-15 15:45:35.382984;340854.130939,24464300.996296,32.556312,36.060611;831508.311557,35210576.720764,29.800302,40.873632;412450.548545,24527146.472509,33.011611,36.534233;935555.964369,33623638.689685,30.694102,40.889906;842539.180339,38119669.225263,29.879305,42.670705
2025-05-15 15:45:35.383953;2025-05-15 15:45:36.438962;340854.337248,24464335.043425,32.556322,36.060643;831509.199555,35210709.287473,29.800353,40.873752;412451.952069,24527313.098613,33.011651,36.534396;935559.365164,33623900.083904,30.694183,40.890137;842540.725212,38119725.725358,29.879317,42.670747
2025-05-15 15:45:36.438962;2025-05-15 15:45:37.524707;340854.495338,24464349.214368,32.556322,36.060654;831510.376526,35210761.763144,29.80036,40.873792;412453.486804,24527379.772784,33.011651,36.534451;935561.56034,33624000.314264,30.694192,40.890213;842541.008002,38119744.1696,29.87932,42.670761
2025-05-15 15:45:37.525705;2025-05-15 15:45:38.561715;340854.763058,24464376.418133,32.55633,36.060683;831511.656908,35210825.940036,29.80041,40.873888;412455.106107,24527459.612313,33.0117,36.534582;935563.797838,33624121.612841,30.694278,40.890397;842541.519899,38119768.009802,29.879336,42.670793
2025-05-15 15:45:38.562712;2025-05-15 15:45:39.620221;340854.795548,24464398.39916,32.556331,36.060702;831511.775391,35210916.149163,29.800428,40.87396;412455.202978,24527570.909671,33.011707,36.534678;935564.00045,33624287.159998,30.694307,40.890532;842541.621431,38119796.003355,29.879341,42.670814
2025-05-15 15:45:39.620221;2025-05-15 15:45:40.674592;340856.792356,24464417.151305,32.556335,36.060725;831515.296962,35211009.571855,29.800457,40.874053;412459.752954,24527697.901289,33.011725,36.53481;935570.00599,33624472.086448,30.694356,40.890717;842547.968396,38119864.995191,29.879343,42.670861
2025-05-15 15:45:40.675591;2025-05-15 15:45:41.738055;340857.009017,24464452.653066,32.556344,36.060758;831516.746307,35211191.213236,29.800505,40.874194;412461.527158,24527944.00578,33.011753,36.535012;935573.143982,33624862.968004,30.694426,40.891006;842552.268215,38119947.803165,29.87935,42.670919
2025-05-15 15:45:41.739089;2025-05-15 15:45:42.818970;340857.463971,24464472.46058,32.556343,36.060772;831518.672445,35211284.505208,29.800511,40.874252;412464.255956,24528068.185519,33.011746,36.535094;935576.725814,33625062.742919,30.694431,40.891127;842553.307977,38119981.59023,29.879352,42.670939
2025-05-15 15:45:42.819936;2025-05-15 15:45:43.872514;340858.131759,24464527.67893,32.556339,36.060804;831519.031563,35211400.532778,29.800535,40.874331;412464.600109,24528204.7647,33.011762,36.5352;935577.275847,33625265.627747,30.694471,40.891272;842553.397593,38120017.287158,29.879358,42.670963
